dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,room,water_changed,vol_water_changed
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250122,0,0,22,100.0,0,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250130,0,0,22,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250131,1,1,21,95.45454545454545,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250201,1,2,20,90.9090909090909,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250202,3,5,17,77.27272727272727,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250203,6,11,11,50.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250212,0,11,11,50.0,21,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250130,0,0,90,100.0,8,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250131,5,5,85,94.44444444444444,9,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250201,0,5,85,94.44444444444444,10,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250202,31,36,54,60.0,11,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250204,8,44,46,51.11111111111111,13,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250212,0,44,46,51.11111111111111,21,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250212,36,80,10,11.11111111111111,21,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250130,0,0,80,100.0,8,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250131,6,6,74,92.5,9,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250201,14,20,60,75.0,10,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250202,11,31,49,61.25000000000001,11,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250203,21,52,28,35.0,12,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250204,13,65,15,18.75,13,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250205,3,68,12,15.0,14,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250218,0,68,12,15.0,27,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250130,0,0,105,100.0,8,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250131,10,10,95,90.47619047619048,9,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250201,20,30,75,71.42857142857143,10,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250202,12,42,63,60.0,11,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250203,45,87,18,17.142857142857142,12,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250204,3,90,15,14.285714285714285,13,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250205,3,93,12,11.428571428571429,14,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250218,0,93,12,11.428571428571429,27,inactive,20250205,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250130,0,0,160,100.0,8,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250131,21,21,139,86.875,9,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250201,30,51,109,68.125,10,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250202,23,74,86,53.75,11,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250203,22,96,64,40.0,12,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250204,6,102,58,36.25,13,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250218,0,102,58,36.25,27,inactive,20250205,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250128,0,0,21,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250129,0,0,21,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250130,0,0,21,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250131,1,1,20,95.23809523809523,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250201,0,1,20,95.23809523809523,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250202,2,3,18,85.71428571428571,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250203,5,8,13,61.904761904761905,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250204,1,9,12,57.14285714285714,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250218,0,9,12,57.14285714285714,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250128,0,0,13,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250129,0,0,13,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250130,0,0,13,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250131,1,1,12,92.3076923076923,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250201,0,1,12,92.3076923076923,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250202,5,6,7,53.84615384615385,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250203,0,6,7,53.84615384615385,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250204,0,6,7,53.84615384615385,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250218,0,6,7,53.84615384615385,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250129,1,1,19,95.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250130,2,3,17,85.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250131,0,3,17,85.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250201,0,3,17,85.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250202,2,5,15,75.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250203,2,7,13,65.0,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250204,0,7,13,65.0,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250218,0,7,13,65.0,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250128,0,0,23,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250129,0,0,23,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250130,1,1,22,95.65217391304348,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250131,1,2,21,91.30434782608695,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250201,0,2,21,91.30434782608695,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250202,3,5,18,78.26086956521739,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250203,5,10,13,56.52173913043478,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,0
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250204,2,12,11,47.82608695652174,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250218,0,12,11,47.82608695652174,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250128,0,0,45,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250129,4,4,41,91.11111111111111,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250130,1,5,40,88.88888888888889,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250131,0,5,40,88.88888888888889,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250201,0,5,40,88.88888888888889,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250202,12,17,28,62.22222222222222,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250203,8,25,20,44.44444444444444,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250204,5,30,15,33.33333333333333,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250218,0,30,15,33.33333333333333,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250129,0,0,20,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250130,1,1,19,95.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250131,0,1,19,95.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250201,0,1,19,95.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250202,4,5,15,75.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250203,4,9,11,55.00000000000001,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250204,0,9,11,55.00000000000001,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250218,0,9,11,55.00000000000001,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250129,0,0,20,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250130,1,1,19,95.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250131,1,2,18,90.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250201,0,2,18,90.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250202,6,8,12,60.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250203,7,15,5,25.0,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250204,2,17,3,15.0,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250218,0,17,3,15.0,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250128,0,0,60,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250129,0,0,60,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250130,0,0,60,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250131,0,0,60,100.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250201,0,0,60,100.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250202,4,4,56,93.33333333333333,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250203,1,5,55,91.66666666666666,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250204,2,7,53,88.33333333333333,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250218,0,7,53,88.33333333333333,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250128,0,0,60,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250129,0,0,60,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250130,1,1,59,98.33333333333333,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250131,16,17,43,71.66666666666667,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250201,0,17,43,71.66666666666667,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250202,32,49,11,18.333333333333332,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250203,4,53,7,11.666666666666666,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250204,2,55,5,8.333333333333332,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250218,0,55,5,8.333333333333332,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250129,0,0,20,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250130,0,0,20,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250131,0,0,20,100.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250201,0,0,20,100.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250202,4,4,16,80.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250203,0,4,16,80.0,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250204,3,7,13,65.0,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
